-- LOADING INPUT FILE ../input/psmigr_1.mtx --
-- INPUT FILE LOADED --

-- PRE-PROCESSING INPUT --
HYB(ELL-G): Original Matrix N = 3140, NNZ = 543162
HYB(HLL): Original Matrix N = 3140, NNZ = 543162
-- DONE PRE-PROCESSING INPUT --


-- STARTING HYB_ELL KERNEL OPERATION --

Run: 41 | Time elapsed: 149952 ns
Run: 42 | Time elapsed: 148160 ns
Run: 43 | Time elapsed: 149312 ns
Run: 44 | Time elapsed: 149632 ns
Run: 45 | Time elapsed: 150528 ns
Run: 46 | Time elapsed: 151424 ns
Run: 47 | Time elapsed: 151008 ns
Run: 48 | Time elapsed: 148608 ns
Run: 49 | Time elapsed: 149984 ns
Run: 50 | Time elapsed: 149408 ns
Run: 51 | Time elapsed: 151648 ns
Run: 52 | Time elapsed: 150016 ns
Run: 53 | Time elapsed: 148256 ns
Run: 54 | Time elapsed: 152800 ns
Run: 55 | Time elapsed: 152704 ns
Run: 56 | Time elapsed: 151008 ns
Run: 57 | Time elapsed: 150240 ns
Run: 58 | Time elapsed: 152416 ns
Run: 59 | Time elapsed: 149792 ns
Run: 60 | Time elapsed: 149312 ns
Run: 61 | Time elapsed: 150912 ns
Run: 62 | Time elapsed: 149664 ns
Run: 63 | Time elapsed: 150208 ns
Run: 64 | Time elapsed: 150464 ns
Run: 65 | Time elapsed: 150624 ns
Run: 66 | Time elapsed: 151296 ns
Run: 67 | Time elapsed: 150272 ns
Run: 68 | Time elapsed: 150816 ns
Run: 69 | Time elapsed: 151232 ns
Run: 70 | Time elapsed: 148800 ns
Run: 71 | Time elapsed: 150144 ns
Run: 72 | Time elapsed: 151264 ns
Run: 73 | Time elapsed: 148768 ns
Run: 74 | Time elapsed: 145184 ns
Run: 75 | Time elapsed: 149600 ns
Run: 76 | Time elapsed: 150784 ns
Run: 77 | Time elapsed: 148640 ns
Run: 78 | Time elapsed: 149344 ns
Run: 79 | Time elapsed: 150848 ns
Run: 80 | Time elapsed: 151552 ns
Run: 81 | Time elapsed: 151072 ns
Run: 82 | Time elapsed: 149344 ns
Run: 83 | Time elapsed: 149120 ns
Run: 84 | Time elapsed: 150464 ns
Run: 85 | Time elapsed: 147680 ns
Run: 86 | Time elapsed: 151136 ns
Run: 87 | Time elapsed: 150912 ns
Run: 88 | Time elapsed: 152544 ns
Run: 89 | Time elapsed: 150656 ns
Run: 90 | Time elapsed: 151072 ns
Run: 91 | Time elapsed: 148320 ns
Run: 92 | Time elapsed: 151552 ns
Run: 93 | Time elapsed: 150976 ns
Run: 94 | Time elapsed: 149344 ns
Run: 95 | Time elapsed: 149888 ns
Run: 96 | Time elapsed: 151776 ns
Run: 97 | Time elapsed: 148512 ns
Run: 98 | Time elapsed: 149024 ns
Run: 99 | Time elapsed: 150176 ns
Run: 100 | Time elapsed: 150432 ns

Average time: 150308 ns

-- FINISHED HYB_ELL KERNEL OPERATION --


-- PRINTING OUTPUT VECTOR RESULTS --
